beta,capacity_a1_b4_lambda1_r01
-1.500000,1.346396851538
-1.475000,1.377586210947
-1.450000,1.409382226783
-1.425000,1.441792870663
-1.400000,1.474826098843
-1.375000,1.508489848058
-1.350000,1.542792031295
-1.325000,1.577740533497
-1.300000,1.613343207211
-1.275000,1.649607868169
-1.250000,1.686542290824
-1.225000,1.724154203827
-1.200000,1.762451285462
-1.175000,1.801441159039
-1.150000,1.841131388249
-1.125000,1.881529472484
-1.100000,1.922642842136
-1.075000,1.964478853864
-1.050000,2.007044785852
-1.025000,2.050347833045
-1.000000,2.094395102393
-0.975000,2.139193608075
-0.950000,2.184750266744
-0.925000,2.231071892771
-0.900000,2.278165193512
-0.875000,2.326036764592
-0.850000,2.374693085220
-0.825000,2.424140513540
-0.800000,2.474385282015
-0.775000,2.525433492864
-0.750000,2.577291113551
-0.725000,2.629963972331
-0.700000,2.683457753860
-0.675000,2.737777994877
-0.650000,2.792930079970
-0.625000,2.848919237414
-0.600000,2.905750535104
-0.575000,2.963428876591
-0.550000,3.021958997205
-0.525000,3.081345460297
-0.500000,3.141592653590
-0.475000,3.202704785649
-0.450000,3.264685882473
-0.425000,3.327539784224
-0.400000,3.391270142077
-0.375000,3.455880415226
-0.350000,3.521373868023
-0.325000,3.587753567268
-0.300000,3.655022379654
-0.275000,3.723182969373
-0.250000,3.792237795874
-0.225000,3.862189111795
-0.200000,3.933038961058
-0.175000,4.004789177138
-0.150000,4.077441381508
-0.125000,4.150996982255
-0.100000,4.225457172882
-0.075000,4.300822931288
-0.050000,4.377095018930
-0.025000,4.454273980175
0.000000,4.532360141827
0.025000,4.611353612854
0.050000,4.691254284289
0.075000,4.772061829326
0.100000,4.853775703600
0.125000,4.936395145652
0.150000,5.019919177585
0.175000,5.104346605895
0.200000,5.189676022494
0.225000,5.275905805910
0.250000,5.363034122669
0.275000,5.451058928847
0.300000,5.539977971808
0.325000,5.629788792101
0.350000,5.720488725536
0.375000,5.812074905419
0.400000,5.904544264949
0.425000,5.997893539775
0.450000,6.092119270704
0.475000,6.187217806559
0.500000,6.283185307180
0.525000,6.380017746566
0.550000,6.477710916153
0.575000,6.576260428219
0.600000,6.675661719412
0.625000,6.775910054401
0.650000,6.877000529637
0.675000,6.978928077224
0.700000,7.081687468885
0.725000,7.185273320036
0.750000,7.289680093936
0.775000,7.394902105928
0.800000,7.500933527758
0.825000,7.607768391963
0.850000,7.715400596323
0.875000,7.823823908374
0.900000,7.933031969973
0.925000,8.043018301912
0.950000,8.153776308565
0.975000,8.265299282576
1.000000,8.377580409573
1.025000,8.490612772905
1.050000,8.604389358390
1.075000,8.718903059082
1.100000,8.834146680033
1.125000,8.950112943061
1.150000,9.066794491505
1.175000,9.184183894975
1.200000,9.302273654078
1.225000,9.421056205122
1.250000,9.540523924799
1.275000,9.660669134823
1.300000,9.781484106544
1.325000,9.902961065510
1.350000,10.025092195987
1.375000,10.147869645430
1.400000,10.271285528895
1.425000,10.395331933394
1.450000,10.520000922193
1.475000,10.645284539037
1.500000,10.771174812308
1.525000,10.897663759116
1.550000,11.024743389310
1.575000,11.152405709412
1.600000,11.280642726471
1.625000,11.409446451839
1.650000,11.538808904854
1.675000,11.668722116443
1.700000,11.799178132633
1.725000,11.930169017974
1.750000,12.061686858871
1.775000,12.193723766820
1.800000,12.326271881551
1.825000,12.459323374080
1.850000,12.592870449662
1.875000,12.726905350646
1.900000,12.861420359240
1.925000,12.996407800172
1.950000,13.131860043257
1.975000,13.267769505870
2.000000,13.404128655316
2.025000,13.540930011111
2.050000,13.678166147157
2.075000,13.815829693830
2.100000,13.953913339971
2.125000,14.092409834779
2.150000,14.231311989615
2.175000,14.370612679712
2.200000,14.510304845791
2.225000,14.650381495595
2.250000,14.790835705320
2.275000,14.931660620972
2.300000,15.072849459634
2.325000,15.214395510640
2.350000,15.356292136677
2.375000,15.498532774798
2.400000,15.641110937358
2.425000,15.784020212870
2.450000,15.927254266784
2.475000,16.070806842193
2.500000,16.214671760463
